# Completeness = 2999/1142679769
ra_ep2000	dec_ep2000	errHalfMaj	errHalfMin	errPosAng	ra	dec	source_id	ref_epoch	ra_error	dec_error	parallax	parallax_error	pm.ra	pm.ra_error	pm.dec	pm.dec_error	ra_dec_corr	duplicated_source	phot_g_n_obs	phot_g_mean_flux	phot_g_mean_flux_error	phot_g_mean_mag	phot_variable_flag	l	b
56.1309780006	36.4601089422	0.00079	0.00035	90	56.1312484103	36.4599463287	223011469560644608	2015.0	0.640	0.262	10.08	0.69	52.196	0.031	-39.027	0.016	0.339	0	284	9.00770e+07	2.00637e+05	5.638	NOT_AVAILABLE	157.6408246951	-14.4895358890
59.4635914578	40.0101023979	0.00159	0.00156	90	59.4635914578	40.0101023979	229898020124416896	2015.0	1.586	1.556							-0.009	0	70	5.58135e+08	1.72639e+07	3.658	NOT_AVAILABLE	157.3539407777	-10.0884805661
62.1525714626	38.0397387104	0.00076	0.00028	90	62.1534435833	38.0388995518	225668198891010560	2015.0	0.610	0.214	47.04	0.70	164.848	0.030	-201.399	0.012	0.216	1	355	1.14742e+08	6.48188e+05	5.375	NOT_AVAILABLE	160.2711507333	-10.1466086925
65.0601151397	41.8080844934	0.00058	0.00036	90	65.0601889715	41.8079668888	228361143385598336	2015.0	0.378	0.217	10.44	0.52	13.208	0.029	-28.225	0.019	-0.247	0	177	8.91641e+07	2.19660e+05	5.649	NOT_AVAILABLE	159.2380434369	-5.8894817646
62.0641199251	37.7274959941	0.00056	0.00024	90	62.0635988658	37.7266802772	225643219361232512	2015.0	0.403	0.150	22.27	0.48	-98.909	0.026	-195.772	0.013	0.158	0	291	8.01563e+07	1.04473e+05	5.765	NOT_AVAILABLE	160.4360939957	-10.4225983552
57.6156524211	42.5885018852	0.00774	0.00636	-0	57.6157196729	42.5884531703	231315874727221760	2015.0	0.672	0.336	2.35	0.71	11.883	0.421	-11.692	0.516	-0.022	0	158	6.84565e+07	1.08996e+05	5.936	NOT_AVAILABLE	154.5908288171	-9.0162234797
47.8222925519	39.6115998954	0.00084	0.00074	90	47.8222925519	39.6115998954	238798429312931456	2015.0	0.841	0.742							-0.036	0	94	2.39361e+08	3.68465e+06	4.577	NOT_AVAILABLE	150.2318827604	-15.7336900137
53.1094140957	46.0568613660	0.00074	0.00050	90	53.1090947685	46.0565498842	241996496319297792	2015.0	0.592	0.396	26.71	0.76	-53.183	0.030	-74.756	0.021	0.316	0	237	1.27833e+08	4.96520e+05	5.258	NOT_AVAILABLE	149.8703507294	-8.2249257686
52.0759132854	44.3772388553	0.00053	0.00037	90	52.0758267377	44.3772125909	241605654295369216	2015.0	0.331	0.206	3.69	0.40	-14.846	0.028	-6.303	0.020	0.354	0	251	8.59776e+07	1.05079e+05	5.689	NOT_AVAILABLE	150.2478498459	-10.0168188076
48.7358160014	42.5036322016	0.00060	0.00042	90	48.7361723935	42.5036538102	239765174909692416	2015.0	0.394	0.260	12.50	0.41	63.059	0.030	5.186	0.022	-0.206	0	116	8.44890e+07	4.41569e+05	5.708	NOT_AVAILABLE	149.2446822156	-12.9187581517
46.3375437468	40.5821801966	0.00070	0.00054	90	46.3374073105	40.5821603704	239836711884991360	2015.0	0.369	0.324	8.70	0.49	-24.869	0.040	-4.758	0.029	-0.518	0	102	8.26780e+07	2.55264e+05	5.731	NOT_AVAILABLE	148.7005739393	-15.4948273652
